Date,User,Tweets
2019-04-01 06:39:09+00:00,ImranKhanPTI,I am delighted to congratulate friend of Pakistan Recep Tayyip Erdogan on another important victory in the Turkish local elections. The people of Pakistan wish him many more successes.
2019-03-25 08:16:18+00:00,ImranKhanPTI,Another commitment fulfilled to bring what was FATA into the mainstream. Last Friday in the jalsa I had promised the people of Bajaur 3 G service. Now  3 G  service has been launched in Tehsil Khawar in Bajaur.
2019-03-22 17:29:14+00:00,ImranKhanPTI,"I welcome PM Modi's message to our people. As we celebrate Pakistan Day I  believe it is time to begin a comprehensive dialogue with India to address &amp; resolve all issues, esp the central issue of Kashmir, &amp; forge a new relationship based on peace &amp; prosperity for all our people."
2019-03-22 16:19:39+00:00,ImranKhanPTI,"Received msg from PM Modi: ""I extend my greetings &amp; best wishes to the people of Pakistan on the National Day of Pakistan. It is time that ppl of Sub-continent work together for a democratic, peaceful, progressive &amp; prosperous region, in an atmosphere free of terror and violence"""
2019-03-21 01:29:02+00:00,ImranKhanPTI,A Happy Nauroze to all those celebrating it.
2019-03-20 02:09:58+00:00,ImranKhanPTI,"Wishing our Hindu community a very happy and peaceful Holi, the festival of colours."
2019-03-18 17:02:49+00:00,ImranKhanPTI,Congratulations to Afghanistan on their team's first ever win in test cricket. The Afghan cricketers have achieved amazing successes in such a short period of their exposure to international cricket.
2019-03-18 04:31:32+00:00,ImranKhanPTI,"Congratulations to PCB, all the organisers &amp; security forces for holding a successful PSL extravaganza in Pakistan. Congratulations to Quetta Gladiators &amp; their manager &amp; my friend Viv Richards on their win. InshaAllah, the next PSL will be held entirely in Pakistan."
2019-03-18 02:54:27+00:00,ImranKhanPTI,"Living up to our commitment. A 3-week consultative process on 10 yr Dev Plan for former FATA is being initiated, starting from Bajaur. Our ppl in the tribal area will see unprecedented development as Govt plans to spend over Rs100 billion annually for 10 yrs in tribal districts"
2019-03-17 04:59:05+00:00,ImranKhanPTI,We stand ready to extend all our support to the families of Pakistani victims of the terrorist attack in Christchurch. Pakistan is proud of Mian Naeem Rashid who was martyred trying to tackle the White Supremacist terrorist &amp; his courage will be recognized with a national award.
2019-03-15 06:40:09+00:00,ImranKhanPTI,"Shocked and strongly condemn the Christchurch, New Zealand, terrorist attack on mosques. This reaffirms what we have always maintained: that terrorism does not have a religion. Prayers go to the victims and their families."
2019-03-14 07:59:52+00:00,ImranKhanPTI,"I am extremely disappointed by decision of Punjab Assembly to raise pays &amp; privileges of MPAs, Ministers &amp; esp CM. Once prosperity returns to Pak such a move cld be justified, but now, when we do not have resources to provide basic amenities to all our people, this is untenable"
2019-03-09 17:35:14+00:00,ImranKhanPTI,I have asked the Punjab CM to ensure that every health facility in the country is made available for Nawaz Sharif to get the treatment of his choice. The federal govt will assist wherever required. I wish him good health.
2019-03-05 04:34:39+00:00,ImranKhanPTI,I welcome CJ's statement on punishing those who give false testimony. “Journey towards truth” is a journey towards Naya Pakistan. Nations become great because they have a higher value system. Muslim civilisation's foundation was State of Medina with truthfulness as the core value
2019-03-04 05:18:51+00:00,ImranKhanPTI,I am not worthy of the Nobel Peace prize. The person worthy of this would be the one who solves the Kashmir dispute according to the wishes of the Kashmiri people and paves the way for peace &amp; human development in the subcontinent.
2019-02-25 11:17:55+00:00,ImranKhanPTI,I have issued instructions today that Afghan refugees who are registered can open bank accounts and from now onwards they can participate in the formal economy of the country . This should have been done a long time ago.
2019-02-14 11:42:40+00:00,ImranKhanPTI,We should all thank Allah almighty for the continuing winter rains that are worth billions to the economy apart from replenishing our water table and glaciers plus countering air pollution. InshaAllah we will have a bumper wheat crop this year.
2019-02-12 13:21:18+00:00,ImranKhanPTI,2/2 Deficit in services trade also down by 800 mn &amp; Overseas Pakistanis' remittances up by 12.2% July 2018 to Jan 2019 from same period a yr ago. The clear improvements in our external accounts indices prove success of our economic policies.
2019-02-12 13:19:53+00:00,ImranKhanPTI,Our economic stabilization measures now showing positive results with exports rising &amp; imports falling for Jan 2019 compared to Jan 2018 leading to to a $1 bn reduction in trade deficit. 1/2
2019-02-10 15:32:06+00:00,ImranKhanPTI,In my meeting today with IMF Managing Director Christine Lagarde there was a convergence of our views on the need to carry out deep structural reforms to put the country on the path of sustainable development in which the most vulnerable segments of society are protected.
2019-02-05 15:10:40+00:00,ImranKhanPTI,The brutality of Indian security forces in Occupied Kashmir has rallied all Kashmiris together in their demand for freedom from Indian Occupation. The Indian army is not fighting insurgents but an entire people in IOK. All freedom loving ppl in the world must stand with Kashmiris
2019-01-28 14:59:42+00:00,ImranKhanPTI,I have tasked the relevant govt stakeholders to make necessary arrangements for the Torkhum border to work round the clock within next 6 months. This step will be instrumental in boosting bilateral trade &amp; enhancing people to people contacts between the two brotherly countries.
2019-01-22 08:29:31+00:00,ImranKhanPTI,My condolences go to the people of Afghanistan at the great loss of life suffered in the condemnable act of terror in Maidan Wardak province on Monday; I pray that peace will return soon to our war-ravaged neighbour.
2019-01-21 07:54:32+00:00,ImranKhanPTI,The grief &amp; anger of the ppl of Pak on Sahiwal incident is understandable &amp; justified. I assure the nation that when I return from Qatar not only will the guilty be given exemplary punishment but I will review the entire structure of Punjab police &amp; start process of reforming it.
2019-01-20 05:41:54+00:00,ImranKhanPTI,Still shocked at seeing the traumatized children who saw their parents shot before their eyes. Any parent would be shocked as they would think of their own children in such a traumatic situation. These children will now be fully looked after by the state as its responsibility.
2019-01-17 05:56:36+00:00,ImranKhanPTI,Why are some of our lawmakers so scared of the ECL? Why are they so keen to go abroad? There is so much work to be done by politicians in &amp; for Pak -  the land they claim to love but some cannot wait to take frequent trips abroad &amp; lawmakers have iqamas or residencies abroad.
2019-01-15 10:05:14+00:00,ImranKhanPTI,Over the years my faith in the goodness of mankind has increased greatly. Shaukat Khanum Memorial Cancer Hospital @SKMCH is a living tribute to your kindness and generosity. I am personally grateful to all of you for helping us achieve the financial targets for the year 2018.
2019-01-15 04:23:42+00:00,ImranKhanPTI,"In a Parliament that costs taxpayers  billions yearly, yet another walkout in NA by the Opposition shows that this is the only function they intend to perform. These are pressure tactics to seek an NRO &amp; evade accountability for corruption in NAB cases not initiated by PTI."
2019-01-08 06:04:53+00:00,ImranKhanPTI,Congratulations to Virat Kohli and the Indian cricket team for the first ever win by a subcontinent team in a test series in Australia
2019-01-01 04:31:49+00:00,ImranKhanPTI,"Our New Year resolution is to wage jihad against the 4 ills of our country: poverty, illiteracy, injustice and corruption. InshaAllah 2019 is the beginning of Pakistan's golden era."
2018-12-25 10:33:20+00:00,ImranKhanPTI,The Panama JIT report &amp; the Fake Accounts JIT report are case studies in how states fail - getting impoverished &amp; drowning in debt. The scale &amp; methods used for siphoning off public money are incredulous &amp; mind-boggling.
